,fecha,rol,sexo,edad,id,n_victimas,hora,t_calle,calle,direccion,comuna,longitud,latitud,participantes,victima,acusado
403,2018-10-25,CONDUCTOR,MASCULINO,20,2018-0113,1,11:00:00,CALLE,"ARTIGAS, JOSE GERVASIO, GRAL.","ARTIGAS, JOSE GERVASIO, GRAL. y TRES ARROYOS",11,-58.47152163,-34.61474911,MOTO-CARGAS,MOTO,CARGAS
404,2018-10-30,CONDUCTOR,MASCULINO,23,2018-0114,1,02:15:00,AVENIDA,SOLIS,SOLIS e INDEPENDENCIA AV.,1,-58.39032921,-34.61807951,MOTO-AUTO,MOTO,AUTO
405,2018-10-31,PEATON,MASCULINO,42,2018-0115,1,12:30:00,CALLE,"BOSCH, VENTURA","BOSCH, VENTURA y PAZ, GRAL. AV.",9,-58.52887773,-34.64297861,PEATON-PASAJEROS,PEATON,PASAJEROS
406,2018-11-01,PEATON,MASCULINO,48,2018-0116,1,10:50:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 14800",8,-58.49371157,-34.67981324,PEATON-CARGAS,PEATON,CARGAS
407,2018-11-04,CONDUCTOR,MASCULINO,30,2018-0117,1,08:15:00,AVENIDA,"PERON, EVA AV.","PERON, EVA AV. 5321",9,-58.48266599,-34.66012327,MOTO-MOTO,MOTO,MOTO
408,2018-11-05,PEATON,FEMENINO,80,2018-0118,1,14:49:00,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","PERON, JUAN DOMINGO, TTE. GENERAL y PUEYRREDON AV.",3,-58.40612253,-34.60774301,PEATON-MOTO,PEATON,MOTO
409,2018-11-05,PEATON,FEMENINO,32,2018-0119,1,22:35:00,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.","RABANAL, FRANCISCO, INTENDENTE AV. y SAN PEDRITO",8,-58.43613623,-34.66292532,PEATON-SD,PEATON,PASAJEROS
410,2018-11-09,PEATON,FEMENINO,51,2018-0120,1,13:34:00,AVENIDA,MONROE,MONROE y ALVAREZ THOMAS AV.,12,-58.48250732,-34.57208238,PEATON-AUTO,PEATON,AUTO
411,2018-11-09,PEATON,FEMENINO,72,2018-0121,1,16:32:00,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. y MANZONI,10,-58.49945705,-34.63743280,PEATON-PASAJEROS,PEATON,PASAJEROS
412,2018-11-12,CONDUCTOR,MASCULINO,33,2018-0122,1,01:00:00,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,AU DELLEPIANE LUIS TTE. GRAL. y LARRAZABAL,8,-58.47743966,-34.67233407,AUTO-AUTO,AUTO,AUTO
413,2018-11-12,CONDUCTOR,MASCULINO,25,2018-0123,1,03:32:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y PERON, EVA AV.",9,-58.50251790,-34.67450313,AUTO-SD,AUTO,AUTO
414,2018-11-15,CONDUCTOR,MASCULINO,44,2018-0124,1,19:40:00,AUTOPISTA,AUTOPISTA PERITO MORENO,AU PERITO MORENO y RESERVISTAS ARGENTINOS,9,-58.52144411,-34.63682499,CARGAS-CARGAS,CARGAS,CARGAS
415,2018-11-16,PEATON,MASCULINO,29,2018-0125,1,21:12:00,AVENIDA,SAENZ AV.,SAENZ AV. y VENTANA,4,-58.41650465,-34.65084045,PEATON-PASAJEROS,PEATON,PASAJEROS
416,2018-11-18,CONDUCTOR,MASCULINO,27,2018-0126,1,12:11:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y FALCON, RAMON L.,CNEL.",9,-58.52994219,-34.64055918,MOTO-AUTO,MOTO,AUTO
417,2018-11-19,CONDUCTOR,MASCULINO,29,2018-0127,1,09:14:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. y DE LOS CONSTITUYENTES AV.",12,-58.50993046,-34.56919739,MOTO-MOTO,MOTO,MOTO
418,2018-11-25,PASAJERO_ACOMPAÑANTE,MASCULINO,49,2018-0128,2,04:30:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 11200",9,-58.52844623,-34.64592873,AUTO-PASAJEROS,AUTO,PASAJEROS
419,2018-11-25,PASAJERO_ACOMPAÑANTE,FEMENINO,39,2018-0128,2,04:30:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 11200",9,-58.52844623,-34.64592873,AUTO-PASAJEROS,AUTO,PASAJEROS
420,2018-11-28,CONDUCTOR,MASCULINO,37,2018-0129,1,04:01:00,AVENIDA,"NEWBERY, JORGE AV.","NEWBERY, JORGE AV. y GUEVARA",15,-58.45021367,-34.58695347,MOTO-PASAJEROS,MOTO,PASAJEROS
421,2018-12-03,CONDUCTOR,MASCULINO,41,2018-0130,1,03:00:00,AVENIDA,GAONA AV.,GAONA AV. y SEGUROLA AV.,10,-58.49022072,-34.62770192,MOTO-PASAJEROS,MOTO,PASAJEROS
422,2018-12-07,CONDUCTOR,MASCULINO,29,2018-0131,1,19:10:00,AVENIDA,"MADERO, EDUARDO AV.","MADERO, EDUARDO AV. 550",1,-58.36860866,-34.60106568,MOTO-CARGAS,MOTO,CARGAS
423,2018-12-12,PEATON,MASCULINO,70,2018-0132,1,08:26:00,AUTOPISTA,AUTOPISTA ARTURO ILLIA,"AU ARTURO ILLIA y CASTILLO, RAMON S., PRES. AV.",2,-58.39490504,-34.57241534,PEATON-CARGAS,PEATON,CARGAS
424,2018-12-12,PEATON,FEMENINO,60,2018-0133,1,14:07:00,AVENIDA,NAZCA AV.,NAZCA AV. y RIVADAVIA AV.,7,-58.46963952,-34.63070603,PEATON-CARGAS,PEATON,CARGAS
425,2018-12-12,PEATON,MASCULINO,56,2018-0134,1,21:00:00,AVENIDA,LA PLATA AV.,LA PLATA AV. y CASEROS AV.,7,-58.42349365,-34.64019887,PEATON-MOTO,PEATON,MOTO
426,2018-12-18,PEATON,MASCULINO,80,2018-0135,1,14:40:00,AVENIDA,BELGRANO AV.,BELGRANO AV. y PERU,1,-58.37471802,-34.61265002,PEATON-PASAJEROS,PEATON,PASAJEROS
427,2018-12-18,PEATON,FEMENINO,70,2018-0136,1,15:42:00,AVENIDA,RIVADAVIA AV.,RIVADAVIA AV. 7013,7,-58.46438789,-34.62913916,PEATON-PASAJEROS,PEATON,PASAJEROS
428,2018-12-18,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2018-0137,1,20:15:00,CALLE,"ALSINA, ADOLFO","ALSINA, ADOLFO y SANTIAGO DEL ESTERO",1,-58.38481975,-34.61100424,MOTO-PASAJEROS,MOTO,PASAJEROS
429,2018-12-21,PASAJERO_ACOMPAÑANTE,FEMENINO,79,2018-0138,1,09:30:00,CALLE,BERMUDEZ,BERMUDEZ 1893,10,-58.50751833,-34.62073702,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
430,2018-12-22,PASAJERO_ACOMPAÑANTE,MASCULINO,28,2018-0139,1,06:30:00,CALLE,SANTANDER,SANTANDER 1974,7,-58.44682986,-34.63888084,MOTO-MOTO,MOTO,MOTO
431,2018-12-22,CONDUCTOR,MASCULINO,78,2018-0140,1,08:05:00,CALLE,LANTERI JULIETA,LANTERI JULIETA 1400,1,-58.36004650,-34.61381341,AUTO-AUTO,AUTO,AUTO
432,2018-12-22,PEATON,MASCULINO,75,2018-0141,1,17:40:00,AVENIDA,MAZA,MAZA e INDEPENDENCIA AV.,5,-58.41509546,-34.62085945,PEATON-MOTO,PEATON,MOTO
433,2018-12-25,PASAJERO_ACOMPAÑANTE,MASCULINO,32,2018-0142,1,13:30:00,GRAL PAZ,"PAZ, GRAL. AV.","PAZ, GRAL. AV. 5172",12,-58.50997604,-34.57251072,CARGAS-PASAJEROS,CARGAS,PASAJEROS
434,2018-12-29,CONDUCTOR,MASCULINO,22,2018-0143,1,05:25:00,AVENIDA,OLIVERA AV.,"OLIVERA AV. y ALBERDI, JUAN BAUTISTA AV.",10,-58.48606475,-34.64047818,MOTO-AUTO,MOTO,AUTO
